request_date,year,month,day_of_week,day_of_month,week_of_year,season,medicine_name,medicine_category,quantity_requested,days_since_last_request
2023-11-25,2023,11,5,25,47,Wet,Paracetamol 500mg,Pain Reliever,118,13
2023-12-08,2023,12,4,8,49,Dry,Paracetamol 500mg,Pain Reliever,151,13
2023-12-24,2023,12,6,24,51,Dry,Paracetamol 500mg,Pain Reliever,150,13
2024-01-06,2024,1,5,6,1,Dry,Paracetamol 500mg,Pain Reliever,136,13
2024-01-22,2024,1,0,22,4,Dry,Paracetamol 500mg,Pain Reliever,143,13
2024-02-04,2024,2,6,4,5,Dry,Paracetamol 500mg,Pain Reliever,128,13
2024-02-14,2024,2,2,14,7,Dry,Paracetamol 500mg,Pain Reliever,110,13
2024-02-28,2024,2,2,28,9,Dry,Paracetamol 500mg,Pain Reliever,143,13
2024-03-09,2024,3,5,9,10,Dry,Paracetamol 500mg,Pain Reliever,123,13
2024-03-21,2024,3,3,21,12,Dry,Paracetamol 500mg,Pain Reliever,141,13
2024-03-31,2024,3,6,31,13,Dry,Paracetamol 500mg,Pain Reliever,132,13
2024-04-13,2024,4,5,13,15,Dry,Paracetamol 500mg,Pain Reliever,145,13
2024-04-25,2024,4,3,25,17,Dry,Paracetamol 500mg,Pain Reliever,123,13
2024-05-05,2024,5,6,5,18,Dry,Paracetamol 500mg,Pain Reliever,129,13
2024-05-19,2024,5,6,19,20,Dry,Paracetamol 500mg,Pain Reliever,118,13
2024-05-29,2024,5,2,29,22,Dry,Paracetamol 500mg,Pain Reliever,127,13
2024-06-14,2024,6,4,14,24,Wet,Paracetamol 500mg,Pain Reliever,135,13
2024-06-27,2024,6,3,27,26,Wet,Paracetamol 500mg,Pain Reliever,128,13
2024-07-12,2024,7,4,12,28,Wet,Paracetamol 500mg,Pain Reliever,124,13
2024-07-24,2024,7,2,24,30,Wet,Paracetamol 500mg,Pain Reliever,125,13
2024-08-03,2024,8,5,3,31,Wet,Paracetamol 500mg,Pain Reliever,130,13
2024-08-17,2024,8,5,17,33,Wet,Paracetamol 500mg,Pain Reliever,118,13
2024-08-30,2024,8,4,30,35,Wet,Paracetamol 500mg,Pain Reliever,123,13
2024-09-13,2024,9,4,13,37,Wet,Paracetamol 500mg,Pain Reliever,125,13
2024-09-25,2024,9,2,25,39,Wet,Paracetamol 500mg,Pain Reliever,121,13
2024-10-05,2024,10,5,5,40,Wet,Paracetamol 500mg,Pain Reliever,121,13
2024-10-15,2024,10,1,15,42,Wet,Paracetamol 500mg,Pain Reliever,124,13
2024-10-27,2024,10,6,27,43,Wet,Paracetamol 500mg,Pain Reliever,130,13
2024-11-12,2024,11,1,12,46,Wet,Paracetamol 500mg,Pain Reliever,128,13
2024-11-22,2024,11,4,22,47,Wet,Paracetamol 500mg,Pain Reliever,141,13
2024-12-07,2024,12,5,7,49,Dry,Paracetamol 500mg,Pain Reliever,123,13
2024-12-23,2024,12,0,23,52,Dry,Paracetamol 500mg,Pain Reliever,125,13
2025-01-06,2025,1,0,6,2,Dry,Paracetamol 500mg,Pain Reliever,108,13
2025-01-19,2025,1,6,19,3,Dry,Paracetamol 500mg,Pain Reliever,138,13
2025-02-03,2025,2,0,3,6,Dry,Paracetamol 500mg,Pain Reliever,122,13
2025-02-14,2025,2,4,14,7,Dry,Paracetamol 500mg,Pain Reliever,126,13
2025-02-26,2025,2,2,26,9,Dry,Paracetamol 500mg,Pain Reliever,126,13
2025-03-12,2025,3,2,12,11,Dry,Paracetamol 500mg,Pain Reliever,140,13
2025-03-22,2025,3,5,22,12,Dry,Paracetamol 500mg,Pain Reliever,123,13
2025-04-01,2025,4,1,1,14,Dry,Paracetamol 500mg,Pain Reliever,140,13
2025-04-14,2025,4,0,14,16,Dry,Paracetamol 500mg,Pain Reliever,132,13
2025-04-28,2025,4,0,28,18,Dry,Paracetamol 500mg,Pain Reliever,116,13
2025-05-10,2025,5,5,10,19,Dry,Paracetamol 500mg,Pain Reliever,132,13
2025-05-24,2025,5,5,24,21,Dry,Paracetamol 500mg,Pain Reliever,99,13
2025-06-05,2025,6,3,5,23,Wet,Paracetamol 500mg,Pain Reliever,126,13
2025-06-19,2025,6,3,19,25,Wet,Paracetamol 500mg,Pain Reliever,116,13
2025-07-05,2025,7,5,5,27,Wet,Paracetamol 500mg,Pain Reliever,134,13
2025-07-16,2025,7,2,16,29,Wet,Paracetamol 500mg,Pain Reliever,146,13
2025-07-31,2025,7,3,31,31,Wet,Paracetamol 500mg,Pain Reliever,110,13
2025-08-14,2025,8,3,14,33,Wet,Paracetamol 500mg,Pain Reliever,136,13
2025-08-29,2025,8,4,29,35,Wet,Paracetamol 500mg,Pain Reliever,135,13
2025-09-09,2025,9,1,9,37,Wet,Paracetamol 500mg,Pain Reliever,123,13
2025-09-19,2025,9,4,19,38,Wet,Paracetamol 500mg,Pain Reliever,122,13
2025-10-05,2025,10,6,5,40,Wet,Paracetamol 500mg,Pain Reliever,134,13
2025-10-16,2025,10,3,16,42,Wet,Paracetamol 500mg,Pain Reliever,137,13
2025-10-29,2025,10,2,29,44,Wet,Paracetamol 500mg,Pain Reliever,115,13
2025-11-14,2025,11,4,14,46,Wet,Paracetamol 500mg,Pain Reliever,144,13
2025-11-25,2025,11,1,25,48,Wet,Paracetamol 500mg,Pain Reliever,132,13
2025-12-05,2025,12,4,5,49,Dry,Paracetamol 500mg,Pain Reliever,129,13
2025-12-21,2025,12,6,21,51,Dry,Paracetamol 500mg,Pain Reliever,151,13
2026-01-02,2026,1,4,2,1,Dry,Paracetamol 500mg,Pain Reliever,138,13
2026-01-14,2026,1,2,14,3,Dry,Paracetamol 500mg,Pain Reliever,132,13
2026-01-26,2026,1,0,26,5,Dry,Paracetamol 500mg,Pain Reliever,139,13
2026-02-05,2026,2,3,5,6,Dry,Paracetamol 500mg,Pain Reliever,116,13
2026-02-21,2026,2,5,21,8,Dry,Paracetamol 500mg,Pain Reliever,123,13
2026-03-04,2026,3,2,4,10,Dry,Paracetamol 500mg,Pain Reliever,134,13
2026-03-18,2026,3,2,18,12,Dry,Paracetamol 500mg,Pain Reliever,141,13
2026-03-29,2026,3,6,29,13,Dry,Paracetamol 500mg,Pain Reliever,119,13
2026-04-09,2026,4,3,9,15,Dry,Paracetamol 500mg,Pain Reliever,134,13
2026-04-23,2026,4,3,23,17,Dry,Paracetamol 500mg,Pain Reliever,125,13
2026-05-05,2026,5,1,5,19,Dry,Paracetamol 500mg,Pain Reliever,123,13
2026-05-21,2026,5,3,21,21,Dry,Paracetamol 500mg,Pain Reliever,149,13
2026-05-31,2026,5,6,31,22,Dry,Paracetamol 500mg,Pain Reliever,134,13
2026-06-12,2026,6,4,12,24,Wet,Paracetamol 500mg,Pain Reliever,111,13
2026-06-27,2026,6,5,27,26,Wet,Paracetamol 500mg,Pain Reliever,127,13
2026-07-11,2026,7,5,11,28,Wet,Paracetamol 500mg,Pain Reliever,144,13
2026-07-24,2026,7,4,24,30,Wet,Paracetamol 500mg,Pain Reliever,123,13
2026-08-09,2026,8,6,9,32,Wet,Paracetamol 500mg,Pain Reliever,153,13
2021-08-23,2021,8,0,23,34,Wet,Biogesic,Pain Reliever,51,11
2021-09-04,2021,9,5,4,35,Wet,Biogesic,Pain Reliever,39,11
2021-09-18,2021,9,5,18,37,Wet,Biogesic,Pain Reliever,55,11
2021-09-28,2021,9,1,28,39,Wet,Biogesic,Pain Reliever,40,11
2021-10-07,2021,10,3,7,40,Wet,Biogesic,Pain Reliever,58,11
2021-10-16,2021,10,5,16,41,Wet,Biogesic,Pain Reliever,48,11
2021-10-25,2021,10,0,25,43,Wet,Biogesic,Pain Reliever,38,11
2021-11-04,2021,11,3,4,44,Wet,Biogesic,Pain Reliever,52,11
2021-11-17,2021,11,2,17,46,Wet,Biogesic,Pain Reliever,47,11
2021-11-29,2021,11,0,29,48,Wet,Biogesic,Pain Reliever,47,11
2021-12-08,2021,12,2,8,49,Dry,Biogesic,Pain Reliever,61,11
2021-12-18,2021,12,5,18,50,Dry,Biogesic,Pain Reliever,45,11
2021-12-31,2021,12,4,31,52,Dry,Biogesic,Pain Reliever,35,11
2022-01-12,2022,1,2,12,2,Dry,Biogesic,Pain Reliever,58,11
2022-01-22,2022,1,5,22,3,Dry,Biogesic,Pain Reliever,47,11
2022-01-30,2022,1,6,30,4,Dry,Biogesic,Pain Reliever,37,11
2022-02-10,2022,2,3,10,6,Dry,Biogesic,Pain Reliever,37,11
2022-02-18,2022,2,4,18,7,Dry,Biogesic,Pain Reliever,54,11
2022-03-02,2022,3,2,2,9,Dry,Biogesic,Pain Reliever,54,11
2022-03-16,2022,3,2,16,11,Dry,Biogesic,Pain Reliever,33,11
2022-03-29,2022,3,1,29,13,Dry,Biogesic,Pain Reliever,49,11
2022-04-07,2022,4,3,7,14,Dry,Biogesic,Pain Reliever,43,11
2022-04-16,2022,4,5,16,15,Dry,Biogesic,Pain Reliever,44,11
2022-04-28,2022,4,3,28,17,Dry,Biogesic,Pain Reliever,54,11
2022-05-06,2022,5,4,6,18,Dry,Biogesic,Pain Reliever,48,11
2022-05-18,2022,5,2,18,20,Dry,Biogesic,Pain Reliever,41,11
2022-05-31,2022,5,1,31,22,Dry,Biogesic,Pain Reliever,66,11
2022-06-14,2022,6,1,14,24,Wet,Biogesic,Pain Reliever,62,11
2022-06-27,2022,6,0,27,26,Wet,Biogesic,Pain Reliever,59,11
2022-07-11,2022,7,0,11,28,Wet,Biogesic,Pain Reliever,48,11
2022-07-20,2022,7,2,20,29,Wet,Biogesic,Pain Reliever,52,11
2022-08-02,2022,8,1,2,31,Wet,Biogesic,Pain Reliever,58,11
2022-08-10,2022,8,2,10,32,Wet,Biogesic,Pain Reliever,49,11
2022-08-18,2022,8,3,18,33,Wet,Biogesic,Pain Reliever,54,11
2022-08-30,2022,8,1,30,35,Wet,Biogesic,Pain Reliever,59,11
2022-09-12,2022,9,0,12,37,Wet,Biogesic,Pain Reliever,43,11
2022-09-24,2022,9,5,24,38,Wet,Biogesic,Pain Reliever,52,11
2022-10-02,2022,10,6,2,39,Wet,Biogesic,Pain Reliever,56,11
2022-10-16,2022,10,6,16,41,Wet,Biogesic,Pain Reliever,40,11
2022-10-25,2022,10,1,25,43,Wet,Biogesic,Pain Reliever,50,11
2022-11-03,2022,11,3,3,44,Wet,Biogesic,Pain Reliever,59,11
2022-11-15,2022,11,1,15,46,Wet,Biogesic,Pain Reliever,52,11
2022-11-29,2022,11,1,29,48,Wet,Biogesic,Pain Reliever,56,11
2022-12-08,2022,12,3,8,49,Dry,Biogesic,Pain Reliever,52,11
2022-12-22,2022,12,3,22,51,Dry,Biogesic,Pain Reliever,49,11
2023-01-02,2023,1,0,2,1,Dry,Biogesic,Pain Reliever,51,11
2023-01-16,2023,1,0,16,3,Dry,Biogesic,Pain Reliever,48,11
2023-01-26,2023,1,3,26,4,Dry,Biogesic,Pain Reliever,54,11
2023-02-04,2023,2,5,4,5,Dry,Biogesic,Pain Reliever,63,11
2023-02-15,2023,2,2,15,7,Dry,Biogesic,Pain Reliever,36,11
2023-02-28,2023,2,1,28,9,Dry,Biogesic,Pain Reliever,50,11
2023-03-10,2023,3,4,10,10,Dry,Biogesic,Pain Reliever,52,11
2023-03-24,2023,3,4,24,12,Dry,Biogesic,Pain Reliever,41,11
2023-04-07,2023,4,4,7,14,Dry,Biogesic,Pain Reliever,48,11
2023-04-18,2023,4,1,18,16,Dry,Biogesic,Pain Reliever,43,11
2023-04-28,2023,4,4,28,17,Dry,Biogesic,Pain Reliever,60,11
2023-05-07,2023,5,6,7,18,Dry,Biogesic,Pain Reliever,52,11
2023-05-19,2023,5,4,19,20,Dry,Biogesic,Pain Reliever,42,11
2023-05-31,2023,5,2,31,22,Dry,Biogesic,Pain Reliever,51,11
2023-06-13,2023,6,1,13,24,Wet,Biogesic,Pain Reliever,47,11
2023-06-25,2023,6,6,25,25,Wet,Biogesic,Pain Reliever,46,11
2023-07-09,2023,7,6,9,27,Wet,Biogesic,Pain Reliever,53,11
2023-07-22,2023,7,5,22,29,Wet,Biogesic,Pain Reliever,42,11
2023-07-30,2023,7,6,30,30,Wet,Biogesic,Pain Reliever,45,11
2023-08-07,2023,8,0,7,32,Wet,Biogesic,Pain Reliever,51,11
2023-08-20,2023,8,6,20,33,Wet,Biogesic,Pain Reliever,52,11
2023-08-29,2023,8,1,29,35,Wet,Biogesic,Pain Reliever,55,11
2023-09-08,2023,9,4,8,36,Wet,Biogesic,Pain Reliever,50,11
2023-09-20,2023,9,2,20,38,Wet,Biogesic,Pain Reliever,59,11
2023-09-30,2023,9,5,30,39,Wet,Biogesic,Pain Reliever,44,11
2023-10-12,2023,10,3,12,41,Wet,Biogesic,Pain Reliever,43,11
2023-10-20,2023,10,4,20,42,Wet,Biogesic,Pain Reliever,43,11
2023-10-31,2023,10,1,31,44,Wet,Biogesic,Pain Reliever,44,11
2023-11-08,2023,11,2,8,45,Wet,Biogesic,Pain Reliever,54,11
2023-11-20,2023,11,0,20,47,Wet,Biogesic,Pain Reliever,50,11
2023-12-03,2023,12,6,3,48,Dry,Biogesic,Pain Reliever,52,11
2023-12-11,2023,12,0,11,50,Dry,Biogesic,Pain Reliever,51,11
2023-12-23,2023,12,5,23,51,Dry,Biogesic,Pain Reliever,47,11
2024-01-01,2024,1,0,1,1,Dry,Biogesic,Pain Reliever,44,11
2024-01-14,2024,1,6,14,2,Dry,Biogesic,Pain Reliever,52,11
2024-01-27,2024,1,5,27,4,Dry,Biogesic,Pain Reliever,44,11
2024-02-07,2024,2,2,7,6,Dry,Biogesic,Pain Reliever,59,11
2024-02-20,2024,2,1,20,8,Dry,Biogesic,Pain Reliever,38,11
2024-03-03,2024,3,6,3,9,Dry,Biogesic,Pain Reliever,48,11
2024-03-14,2024,3,3,14,11,Dry,Biogesic,Pain Reliever,50,11
2024-03-27,2024,3,2,27,13,Dry,Biogesic,Pain Reliever,63,11
2024-04-05,2024,4,4,5,14,Dry,Biogesic,Pain Reliever,45,11
2024-04-18,2024,4,3,18,16,Dry,Biogesic,Pain Reliever,43,11
2024-04-29,2024,4,0,29,18,Dry,Biogesic,Pain Reliever,40,11
2024-05-12,2024,5,6,12,19,Dry,Biogesic,Pain Reliever,52,11
2024-05-23,2024,5,3,23,21,Dry,Biogesic,Pain Reliever,46,11
2024-06-05,2024,6,2,5,23,Wet,Biogesic,Pain Reliever,47,11
2024-06-19,2024,6,2,19,25,Wet,Biogesic,Pain Reliever,51,11
2024-06-28,2024,6,4,28,26,Wet,Biogesic,Pain Reliever,38,11
2024-07-06,2024,7,5,6,27,Wet,Biogesic,Pain Reliever,56,11
2024-07-19,2024,7,4,19,29,Wet,Biogesic,Pain Reliever,48,11
2024-07-27,2024,7,5,27,30,Wet,Biogesic,Pain Reliever,59,11
2024-08-05,2024,8,0,5,32,Wet,Biogesic,Pain Reliever,40,11
2024-08-13,2024,8,1,13,33,Wet,Biogesic,Pain Reliever,43,11
2024-08-21,2024,8,2,21,34,Wet,Biogesic,Pain Reliever,55,11
2024-09-02,2024,9,0,2,36,Wet,Biogesic,Pain Reliever,41,11
2024-09-15,2024,9,6,15,37,Wet,Biogesic,Pain Reliever,43,11
2024-09-28,2024,9,5,28,39,Wet,Biogesic,Pain Reliever,50,11
2024-10-10,2024,10,3,10,41,Wet,Biogesic,Pain Reliever,52,11
2024-10-24,2024,10,3,24,43,Wet,Biogesic,Pain Reliever,53,11
2024-11-07,2024,11,3,7,45,Wet,Biogesic,Pain Reliever,50,11
2024-11-15,2024,11,4,15,46,Wet,Biogesic,Pain Reliever,48,11
2024-11-27,2024,11,2,27,48,Wet,Biogesic,Pain Reliever,61,11
2024-12-07,2024,12,5,7,49,Dry,Biogesic,Pain Reliever,49,11
2024-12-17,2024,12,1,17,51,Dry,Biogesic,Pain Reliever,47,11
2024-12-31,2024,12,1,31,1,Dry,Biogesic,Pain Reliever,60,11
2025-01-13,2025,1,0,13,3,Dry,Biogesic,Pain Reliever,60,11
2025-01-26,2025,1,6,26,4,Dry,Biogesic,Pain Reliever,56,11
2025-02-05,2025,2,2,5,6,Dry,Biogesic,Pain Reliever,55,11
2025-02-18,2025,2,1,18,8,Dry,Biogesic,Pain Reliever,55,11
2025-02-27,2025,2,3,27,9,Dry,Biogesic,Pain Reliever,47,11
2025-03-13,2025,3,3,13,11,Dry,Biogesic,Pain Reliever,47,11
2025-03-24,2025,3,0,24,13,Dry,Biogesic,Pain Reliever,48,11
2025-04-05,2025,4,5,5,14,Dry,Biogesic,Pain Reliever,50,11
2025-04-17,2025,4,3,17,16,Dry,Biogesic,Pain Reliever,55,11
2025-04-27,2025,4,6,27,17,Dry,Biogesic,Pain Reliever,51,11
2025-05-07,2025,5,2,7,19,Dry,Biogesic,Pain Reliever,47,11
2025-05-16,2025,5,4,16,20,Dry,Biogesic,Pain Reliever,47,11
2025-05-30,2025,5,4,30,22,Dry,Biogesic,Pain Reliever,49,11
2025-06-10,2025,6,1,10,24,Wet,Biogesic,Pain Reliever,62,11
2025-06-19,2025,6,3,19,25,Wet,Biogesic,Pain Reliever,52,11
2025-06-30,2025,6,0,30,27,Wet,Biogesic,Pain Reliever,52,11
2025-07-11,2025,7,4,11,28,Wet,Biogesic,Pain Reliever,57,11
2025-07-25,2025,7,4,25,30,Wet,Biogesic,Pain Reliever,42,11
2025-08-03,2025,8,6,3,31,Wet,Biogesic,Pain Reliever,37,11
2025-08-16,2025,8,5,16,33,Wet,Biogesic,Pain Reliever,49,11
2025-08-28,2025,8,3,28,35,Wet,Biogesic,Pain Reliever,42,11
2025-09-11,2025,9,3,11,37,Wet,Biogesic,Pain Reliever,62,11
2025-09-25,2025,9,3,25,39,Wet,Biogesic,Pain Reliever,44,11
2025-10-09,2025,10,3,9,41,Wet,Biogesic,Pain Reliever,35,11
2025-10-20,2025,10,0,20,43,Wet,Biogesic,Pain Reliever,57,11
2025-10-30,2025,10,3,30,44,Wet,Biogesic,Pain Reliever,48,11
2025-11-09,2025,11,6,9,45,Wet,Biogesic,Pain Reliever,62,11
2025-11-19,2025,11,2,19,47,Wet,Biogesic,Pain Reliever,55,11
2025-11-29,2025,11,5,29,48,Wet,Biogesic,Pain Reliever,44,11
2025-12-10,2025,12,2,10,50,Dry,Biogesic,Pain Reliever,48,11
2025-12-18,2025,12,3,18,51,Dry,Biogesic,Pain Reliever,56,11
2025-12-27,2025,12,5,27,52,Dry,Biogesic,Pain Reliever,41,11
2026-01-07,2026,1,2,7,2,Dry,Biogesic,Pain Reliever,51,11
2026-01-21,2026,1,2,21,4,Dry,Biogesic,Pain Reliever,52,11
2026-02-04,2026,2,2,4,6,Dry,Biogesic,Pain Reliever,48,11
2026-02-17,2026,2,1,17,8,Dry,Biogesic,Pain Reliever,43,11
2026-03-01,2026,3,6,1,9,Dry,Biogesic,Pain Reliever,47,11
2026-03-11,2026,3,2,11,11,Dry,Biogesic,Pain Reliever,49,11
2026-03-22,2026,3,6,22,12,Dry,Biogesic,Pain Reliever,50,11
2026-04-01,2026,4,2,1,14,Dry,Biogesic,Pain Reliever,42,11
2026-04-13,2026,4,0,13,16,Dry,Biogesic,Pain Reliever,37,11
2026-04-22,2026,4,2,22,17,Dry,Biogesic,Pain Reliever,45,11
2026-05-03,2026,5,6,3,18,Dry,Biogesic,Pain Reliever,48,11
2026-05-13,2026,5,2,13,20,Dry,Biogesic,Pain Reliever,44,11
2026-05-25,2026,5,0,25,22,Dry,Biogesic,Pain Reliever,52,11
2026-06-06,2026,6,5,6,23,Wet,Biogesic,Pain Reliever,42,11
2026-06-20,2026,6,5,20,25,Wet,Biogesic,Pain Reliever,55,11
2026-07-03,2026,7,4,3,27,Wet,Biogesic,Pain Reliever,52,11
2026-07-14,2026,7,1,14,29,Wet,Biogesic,Pain Reliever,65,11
2026-07-27,2026,7,0,27,31,Wet,Biogesic,Pain Reliever,46,11
2026-08-10,2026,8,0,10,33,Wet,Biogesic,Pain Reliever,53,11
2021-08-17,2021,8,1,17,33,Wet,Amoxicillin 500mg,Antibiotic,55,9
2021-08-24,2021,8,1,24,34,Wet,Amoxicillin 500mg,Antibiotic,65,9
2021-09-01,2021,9,2,1,35,Wet,Amoxicillin 500mg,Antibiotic,48,9
2021-09-13,2021,9,0,13,37,Wet,Amoxicillin 500mg,Antibiotic,50,9
2021-09-19,2021,9,6,19,37,Wet,Amoxicillin 500mg,Antibiotic,52,9
2021-09-28,2021,9,1,28,39,Wet,Amoxicillin 500mg,Antibiotic,43,9
2021-10-06,2021,10,2,6,40,Wet,Amoxicillin 500mg,Antibiotic,64,9
2021-10-12,2021,10,1,12,41,Wet,Amoxicillin 500mg,Antibiotic,53,9
2021-10-18,2021,10,0,18,42,Wet,Amoxicillin 500mg,Antibiotic,54,9
2021-10-30,2021,10,5,30,43,Wet,Amoxicillin 500mg,Antibiotic,47,9
2021-11-10,2021,11,2,10,45,Wet,Amoxicillin 500mg,Antibiotic,45,9
2021-11-18,2021,11,3,18,46,Wet,Amoxicillin 500mg,Antibiotic,61,9
2021-11-25,2021,11,3,25,47,Wet,Amoxicillin 500mg,Antibiotic,55,9
2021-12-01,2021,12,2,1,48,Dry,Amoxicillin 500mg,Antibiotic,51,9
2021-12-10,2021,12,4,10,49,Dry,Amoxicillin 500mg,Antibiotic,47,9
2021-12-20,2021,12,0,20,51,Dry,Amoxicillin 500mg,Antibiotic,48,9
2021-12-28,2021,12,1,28,52,Dry,Amoxicillin 500mg,Antibiotic,56,9
2022-01-03,2022,1,0,3,1,Dry,Amoxicillin 500mg,Antibiotic,53,9
2022-01-09,2022,1,6,9,1,Dry,Amoxicillin 500mg,Antibiotic,52,9
2022-01-16,2022,1,6,16,2,Dry,Amoxicillin 500mg,Antibiotic,52,9
2022-01-27,2022,1,3,27,4,Dry,Amoxicillin 500mg,Antibiotic,59,9
2022-02-05,2022,2,5,5,5,Dry,Amoxicillin 500mg,Antibiotic,60,9
2022-02-13,2022,2,6,13,6,Dry,Amoxicillin 500mg,Antibiotic,49,9
2022-02-19,2022,2,5,19,7,Dry,Amoxicillin 500mg,Antibiotic,58,9
