date,year,month,day_of_week,day_of_month,week_of_year,season,barangay_id,medicine_name,medicine_category,quantity_requested
2023-05-08,2023,5,0,8,19,Dry,BRGY001,Biogesic,Pain Reliever,6
2023-05-20,2023,5,5,20,20,Dry,BRGY001,Biogesic,Pain Reliever,3
2023-06-01,2023,6,3,1,22,Wet,BRGY001,Biogesic,Pain Reliever,2
2023-06-14,2023,6,2,14,24,Wet,BRGY001,Biogesic,Pain Reliever,4
2023-06-26,2023,6,0,26,26,Wet,BRGY001,Biogesic,Pain Reliever,11
2023-07-07,2023,7,4,7,27,Wet,BRGY001,Biogesic,Pain Reliever,5
2023-07-23,2023,7,6,23,29,Wet,BRGY001,Biogesic,Pain Reliever,2
2023-08-05,2023,8,5,5,31,Wet,BRGY001,Biogesic,Pain Reliever,6
2023-08-18,2023,8,4,18,33,Wet,BRGY001,Biogesic,Pain Reliever,10
2023-09-02,2023,9,5,2,35,Wet,BRGY001,Biogesic,Pain Reliever,3
2023-09-19,2023,9,1,19,38,Wet,BRGY001,Biogesic,Pain Reliever,3
2023-10-04,2023,10,2,4,40,Wet,BRGY001,Biogesic,Pain Reliever,9
2023-10-17,2023,10,1,17,42,Wet,BRGY001,Biogesic,Pain Reliever,6
2023-11-03,2023,11,4,3,44,Wet,BRGY001,Biogesic,Pain Reliever,5
2023-11-20,2023,11,0,20,47,Wet,BRGY001,Biogesic,Pain Reliever,8
2023-12-02,2023,12,5,2,48,Dry,BRGY001,Biogesic,Pain Reliever,1
2023-12-14,2023,12,3,14,50,Dry,BRGY001,Biogesic,Pain Reliever,6
2023-12-26,2023,12,1,26,52,Dry,BRGY001,Biogesic,Pain Reliever,6
2024-01-09,2024,1,1,9,2,Dry,BRGY001,Biogesic,Pain Reliever,3
2024-01-20,2024,1,5,20,3,Dry,BRGY001,Biogesic,Pain Reliever,1
2024-02-06,2024,2,1,6,6,Dry,BRGY001,Biogesic,Pain Reliever,4
2024-02-21,2024,2,2,21,8,Dry,BRGY001,Biogesic,Pain Reliever,3
2024-03-07,2024,3,3,7,10,Dry,BRGY001,Biogesic,Pain Reliever,9
2024-03-21,2024,3,3,21,12,Dry,BRGY001,Biogesic,Pain Reliever,10
2024-04-07,2024,4,6,7,14,Dry,BRGY001,Biogesic,Pain Reliever,1
2024-04-24,2024,4,2,24,17,Dry,BRGY001,Biogesic,Pain Reliever,3
2024-05-09,2024,5,3,9,19,Dry,BRGY001,Biogesic,Pain Reliever,7
2024-05-21,2024,5,1,21,21,Dry,BRGY001,Biogesic,Pain Reliever,6
2024-06-04,2024,6,1,4,23,Wet,BRGY001,Biogesic,Pain Reliever,4
2024-06-17,2024,6,0,17,25,Wet,BRGY001,Biogesic,Pain Reliever,6
2024-06-28,2024,6,4,28,26,Wet,BRGY001,Biogesic,Pain Reliever,7
2024-07-15,2024,7,0,15,29,Wet,BRGY001,Biogesic,Pain Reliever,6
2024-07-31,2024,7,2,31,31,Wet,BRGY001,Biogesic,Pain Reliever,5
2024-08-13,2024,8,1,13,33,Wet,BRGY001,Biogesic,Pain Reliever,7
2024-08-26,2024,8,0,26,35,Wet,BRGY001,Biogesic,Pain Reliever,8
2024-09-09,2024,9,0,9,37,Wet,BRGY001,Biogesic,Pain Reliever,2
2024-09-26,2024,9,3,26,39,Wet,BRGY001,Biogesic,Pain Reliever,4
2024-10-12,2024,10,5,12,41,Wet,BRGY001,Biogesic,Pain Reliever,6
2024-10-29,2024,10,1,29,44,Wet,BRGY001,Biogesic,Pain Reliever,5
2024-11-09,2024,11,5,9,45,Wet,BRGY001,Biogesic,Pain Reliever,6
2024-11-23,2024,11,5,23,47,Wet,BRGY001,Biogesic,Pain Reliever,3
2024-12-05,2024,12,3,5,49,Dry,BRGY001,Biogesic,Pain Reliever,5
2024-12-16,2024,12,0,16,51,Dry,BRGY001,Biogesic,Pain Reliever,10
2025-01-02,2025,1,3,2,1,Dry,BRGY001,Biogesic,Pain Reliever,7
2025-01-18,2025,1,5,18,3,Dry,BRGY001,Biogesic,Pain Reliever,8
2025-02-01,2025,2,5,1,5,Dry,BRGY001,Biogesic,Pain Reliever,7
2025-02-18,2025,2,1,18,8,Dry,BRGY001,Biogesic,Pain Reliever,8
2025-03-02,2025,3,6,2,9,Dry,BRGY001,Biogesic,Pain Reliever,10
2025-03-17,2025,3,0,17,12,Dry,BRGY001,Biogesic,Pain Reliever,7
2025-04-01,2025,4,1,1,14,Dry,BRGY001,Biogesic,Pain Reliever,7
2025-04-14,2025,4,0,14,16,Dry,BRGY001,Biogesic,Pain Reliever,2
2025-04-25,2025,4,4,25,17,Dry,BRGY001,Biogesic,Pain Reliever,4
2025-05-11,2025,5,6,11,19,Dry,BRGY001,Biogesic,Pain Reliever,6
2025-05-27,2025,5,1,27,22,Dry,BRGY001,Biogesic,Pain Reliever,3
2025-06-07,2025,6,5,7,23,Wet,BRGY001,Biogesic,Pain Reliever,6
2025-06-22,2025,6,6,22,25,Wet,BRGY001,Biogesic,Pain Reliever,2
2025-07-07,2025,7,0,7,28,Wet,BRGY001,Biogesic,Pain Reliever,3
2025-07-19,2025,7,5,19,29,Wet,BRGY001,Biogesic,Pain Reliever,4
2025-08-05,2025,8,1,5,32,Wet,BRGY001,Biogesic,Pain Reliever,3
2025-08-19,2025,8,1,19,34,Wet,BRGY001,Biogesic,Pain Reliever,6
2025-09-04,2025,9,3,4,36,Wet,BRGY001,Biogesic,Pain Reliever,3
2025-09-16,2025,9,1,16,38,Wet,BRGY001,Biogesic,Pain Reliever,6
2025-10-02,2025,10,3,2,40,Wet,BRGY001,Biogesic,Pain Reliever,4
2025-10-13,2025,10,0,13,42,Wet,BRGY001,Biogesic,Pain Reliever,4
2025-10-25,2025,10,5,25,43,Wet,BRGY001,Biogesic,Pain Reliever,7
2025-11-10,2025,11,0,10,46,Wet,BRGY001,Biogesic,Pain Reliever,8
2025-11-26,2025,11,2,26,48,Wet,BRGY001,Biogesic,Pain Reliever,6
2025-12-12,2025,12,4,12,50,Dry,BRGY001,Biogesic,Pain Reliever,4
2025-12-26,2025,12,4,26,52,Dry,BRGY001,Biogesic,Pain Reliever,5
2026-01-12,2026,1,0,12,3,Dry,BRGY001,Biogesic,Pain Reliever,5
2026-01-25,2026,1,6,25,4,Dry,BRGY001,Biogesic,Pain Reliever,3
2026-02-11,2026,2,2,11,7,Dry,BRGY001,Biogesic,Pain Reliever,7
2026-02-25,2026,2,2,25,9,Dry,BRGY001,Biogesic,Pain Reliever,4
2026-03-11,2026,3,2,11,11,Dry,BRGY001,Biogesic,Pain Reliever,4
2026-03-26,2026,3,3,26,13,Dry,BRGY001,Biogesic,Pain Reliever,8
2026-04-07,2026,4,1,7,15,Dry,BRGY001,Biogesic,Pain Reliever,7
2026-04-22,2026,4,2,22,17,Dry,BRGY001,Biogesic,Pain Reliever,3
2026-05-07,2026,5,3,7,19,Dry,BRGY001,Biogesic,Pain Reliever,7
2026-05-22,2026,5,4,22,21,Dry,BRGY001,Biogesic,Pain Reliever,3
2026-06-05,2026,6,4,5,23,Wet,BRGY001,Biogesic,Pain Reliever,8
2026-06-21,2026,6,6,21,25,Wet,BRGY001,Biogesic,Pain Reliever,2
2026-07-06,2026,7,0,6,28,Wet,BRGY001,Biogesic,Pain Reliever,4
2026-07-18,2026,7,5,18,29,Wet,BRGY001,Biogesic,Pain Reliever,6
2026-08-01,2026,8,5,1,31,Wet,BRGY001,Biogesic,Pain Reliever,5
2021-08-25,2021,8,2,25,34,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2021-09-20,2021,9,0,20,38,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,4
2021-10-18,2021,10,0,18,42,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,4
2021-11-15,2021,11,0,15,46,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,4
2021-12-10,2021,12,4,10,49,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2022-01-01,2022,1,5,1,52,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2022-01-27,2022,1,3,27,4,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,1
2022-02-23,2022,2,2,23,8,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,8
2022-03-19,2022,3,5,19,11,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,6
2022-04-13,2022,4,2,13,15,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,5
2022-05-09,2022,5,0,9,19,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,2
2022-06-04,2022,6,5,4,22,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,3
2022-07-02,2022,7,5,2,26,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,3
2022-07-26,2022,7,1,26,30,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2022-08-21,2022,8,6,21,33,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2022-09-18,2022,9,6,18,37,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2022-10-14,2022,10,4,14,41,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,2
2022-11-11,2022,11,4,11,45,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,4
2022-12-06,2022,12,1,6,49,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2023-01-02,2023,1,0,2,1,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,5
2023-01-28,2023,1,5,28,4,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,5
2023-02-19,2023,2,6,19,7,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2023-03-16,2023,3,3,16,11,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2023-04-07,2023,4,4,7,14,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,3
2023-05-02,2023,5,1,2,18,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,6
2023-05-28,2023,5,6,28,21,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,3
2023-06-22,2023,6,3,22,25,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,4
2023-07-17,2023,7,0,17,29,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,6
2023-08-09,2023,8,2,9,32,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,7
2023-08-31,2023,8,3,31,35,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2023-09-24,2023,9,6,24,38,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,12
2023-10-18,2023,10,2,18,42,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2023-11-12,2023,11,6,12,45,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,8
2023-12-08,2023,12,4,8,49,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2023-12-30,2023,12,5,30,52,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,8
2024-01-22,2024,1,0,22,4,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,2
2024-02-14,2024,2,2,14,7,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,5
2024-03-13,2024,3,2,13,11,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,9
2024-04-08,2024,4,0,8,15,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,1
2024-05-04,2024,5,5,4,18,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,3
2024-05-27,2024,5,0,27,22,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2024-06-23,2024,6,6,23,25,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,6
2024-07-15,2024,7,0,15,29,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,6
2024-08-06,2024,8,1,6,32,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,8
2024-08-29,2024,8,3,29,35,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,1
2024-09-25,2024,9,2,25,39,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,6
2024-10-21,2024,10,0,21,43,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,8
2024-11-12,2024,11,1,12,46,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2025-01-04,2025,1,5,4,1,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,6
2025-01-30,2025,1,3,30,5,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2025-02-23,2025,2,6,23,8,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2025-03-23,2025,3,6,23,12,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2025-04-14,2025,4,0,14,16,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2025-05-09,2025,5,4,9,19,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,5
2025-06-02,2025,6,0,2,23,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,2
2025-06-29,2025,6,6,29,26,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,4
2025-07-23,2025,7,2,23,30,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2025-08-20,2025,8,2,20,34,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,5
2025-09-15,2025,9,0,15,38,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,7
2025-10-09,2025,10,3,9,41,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,8
2025-11-01,2025,11,5,1,44,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,3
2025-11-23,2025,11,6,23,47,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,8
2025-12-20,2025,12,5,20,51,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2026-01-14,2026,1,2,14,3,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2026-02-10,2026,2,1,10,7,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,4
2026-03-04,2026,3,2,4,10,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,1
2026-03-27,2026,3,4,27,13,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,6
2026-04-20,2026,4,0,20,17,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,7
2026-05-13,2026,5,2,13,20,Dry,BRGY001,Amoxicillin 500mg,Antibiotic,2
2026-06-10,2026,6,2,10,24,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,7
2026-07-06,2026,7,0,6,28,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,3
2026-07-28,2026,7,1,28,31,Wet,BRGY001,Amoxicillin 500mg,Antibiotic,3
2021-08-28,2021,8,5,28,34,Wet,BRGY001,Cefalexin,Antibiotic,1
2021-09-16,2021,9,3,16,37,Wet,BRGY001,Cefalexin,Antibiotic,6
2021-10-06,2021,10,2,6,40,Wet,BRGY001,Cefalexin,Antibiotic,6
2021-10-26,2021,10,1,26,43,Wet,BRGY001,Cefalexin,Antibiotic,3
2021-11-15,2021,11,0,15,46,Wet,BRGY001,Cefalexin,Antibiotic,5
2021-12-06,2021,12,0,6,49,Dry,BRGY001,Cefalexin,Antibiotic,6
2021-12-24,2021,12,4,24,51,Dry,BRGY001,Cefalexin,Antibiotic,1
2022-01-11,2022,1,1,11,2,Dry,BRGY001,Cefalexin,Antibiotic,4
2022-01-29,2022,1,5,29,4,Dry,BRGY001,Cefalexin,Antibiotic,9
2022-02-18,2022,2,4,18,7,Dry,BRGY001,Cefalexin,Antibiotic,4
2022-03-09,2022,3,2,9,10,Dry,BRGY001,Cefalexin,Antibiotic,2
2022-03-24,2022,3,3,24,12,Dry,BRGY001,Cefalexin,Antibiotic,1
2022-04-13,2022,4,2,13,15,Dry,BRGY001,Cefalexin,Antibiotic,9
2022-05-01,2022,5,6,1,17,Dry,BRGY001,Cefalexin,Antibiotic,6
2022-05-21,2022,5,5,21,20,Dry,BRGY001,Cefalexin,Antibiotic,3
2022-06-07,2022,6,1,7,23,Wet,BRGY001,Cefalexin,Antibiotic,5
2022-06-22,2022,6,2,22,25,Wet,BRGY001,Cefalexin,Antibiotic,1
