date,year,month,day_of_week,day_of_month,week_of_year,season,medicine_name,medicine_category,quantity_dispensed
2021-10-02,2021,10,5,2,39,Wet,Paracetamol 500mg,Pain Reliever,3
2021-10-03,2021,10,6,3,39,Wet,Paracetamol 500mg,Pain Reliever,2
2021-10-04,2021,10,0,4,40,Wet,Paracetamol 500mg,Pain Reliever,5
2021-10-05,2021,10,1,5,40,Wet,Paracetamol 500mg,Pain Reliever,12
2021-10-06,2021,10,2,6,40,Wet,Paracetamol 500mg,Pain Reliever,2
2021-10-07,2021,10,3,7,40,Wet,Paracetamol 500mg,Pain Reliever,4
2021-10-08,2021,10,4,8,40,Wet,Paracetamol 500mg,Pain Reliever,9
2021-10-09,2021,10,5,9,40,Wet,Paracetamol 500mg,Pain Reliever,9
2021-10-10,2021,10,6,10,40,Wet,Paracetamol 500mg,Pain Reliever,2
2021-10-11,2021,10,0,11,41,Wet,Paracetamol 500mg,Pain Reliever,6
2021-10-12,2021,10,1,12,41,Wet,Paracetamol 500mg,Pain Reliever,9
2021-10-13,2021,10,2,13,41,Wet,Paracetamol 500mg,Pain Reliever,7
2021-10-14,2021,10,3,14,41,Wet,Paracetamol 500mg,Pain Reliever,7
2021-10-15,2021,10,4,15,41,Wet,Paracetamol 500mg,Pain Reliever,5
2021-10-16,2021,10,5,16,41,Wet,Paracetamol 500mg,Pain Reliever,4
2021-10-17,2021,10,6,17,41,Wet,Paracetamol 500mg,Pain Reliever,4
2021-10-18,2021,10,0,18,42,Wet,Paracetamol 500mg,Pain Reliever,6
2021-10-19,2021,10,1,19,42,Wet,Paracetamol 500mg,Pain Reliever,3
2021-10-20,2021,10,2,20,42,Wet,Paracetamol 500mg,Pain Reliever,9
2021-10-21,2021,10,3,21,42,Wet,Paracetamol 500mg,Pain Reliever,8
2021-10-22,2021,10,4,22,42,Wet,Paracetamol 500mg,Pain Reliever,10
2021-10-23,2021,10,5,23,42,Wet,Paracetamol 500mg,Pain Reliever,4
2021-10-24,2021,10,6,24,42,Wet,Paracetamol 500mg,Pain Reliever,1
2021-10-25,2021,10,0,25,43,Wet,Paracetamol 500mg,Pain Reliever,16
2021-10-26,2021,10,1,26,43,Wet,Paracetamol 500mg,Pain Reliever,6
2021-10-27,2021,10,2,27,43,Wet,Paracetamol 500mg,Pain Reliever,14
2021-10-28,2021,10,3,28,43,Wet,Paracetamol 500mg,Pain Reliever,8
2021-10-29,2021,10,4,29,43,Wet,Paracetamol 500mg,Pain Reliever,10
2021-10-30,2021,10,5,30,43,Wet,Paracetamol 500mg,Pain Reliever,3
2021-11-01,2021,11,0,1,44,Wet,Paracetamol 500mg,Pain Reliever,3
2021-11-02,2021,11,1,2,44,Wet,Paracetamol 500mg,Pain Reliever,12
2021-11-03,2021,11,2,3,44,Wet,Paracetamol 500mg,Pain Reliever,7
2021-11-04,2021,11,3,4,44,Wet,Paracetamol 500mg,Pain Reliever,3
2021-11-05,2021,11,4,5,44,Wet,Paracetamol 500mg,Pain Reliever,7
2021-11-06,2021,11,5,6,44,Wet,Paracetamol 500mg,Pain Reliever,1
2021-11-07,2021,11,6,7,44,Wet,Paracetamol 500mg,Pain Reliever,1
2021-11-08,2021,11,0,8,45,Wet,Paracetamol 500mg,Pain Reliever,4
2021-11-09,2021,11,1,9,45,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-10,2021,11,2,10,45,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-11,2021,11,3,11,45,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-12,2021,11,4,12,45,Wet,Paracetamol 500mg,Pain Reliever,8
2021-11-13,2021,11,5,13,45,Wet,Paracetamol 500mg,Pain Reliever,2
2021-11-14,2021,11,6,14,45,Wet,Paracetamol 500mg,Pain Reliever,1
2021-11-15,2021,11,0,15,46,Wet,Paracetamol 500mg,Pain Reliever,7
2021-11-16,2021,11,1,16,46,Wet,Paracetamol 500mg,Pain Reliever,8
2021-11-17,2021,11,2,17,46,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-18,2021,11,3,18,46,Wet,Paracetamol 500mg,Pain Reliever,5
2021-11-19,2021,11,4,19,46,Wet,Paracetamol 500mg,Pain Reliever,9
2021-11-20,2021,11,5,20,46,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-21,2021,11,6,21,46,Wet,Paracetamol 500mg,Pain Reliever,1
2021-11-22,2021,11,0,22,47,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-23,2021,11,1,23,47,Wet,Paracetamol 500mg,Pain Reliever,5
2021-11-24,2021,11,2,24,47,Wet,Paracetamol 500mg,Pain Reliever,13
2021-11-25,2021,11,3,25,47,Wet,Paracetamol 500mg,Pain Reliever,7
2021-11-26,2021,11,4,26,47,Wet,Paracetamol 500mg,Pain Reliever,7
2021-11-27,2021,11,5,27,47,Wet,Paracetamol 500mg,Pain Reliever,6
2021-11-28,2021,11,6,28,47,Wet,Paracetamol 500mg,Pain Reliever,2
2021-11-29,2021,11,0,29,48,Wet,Paracetamol 500mg,Pain Reliever,9
2021-11-30,2021,11,1,30,48,Wet,Paracetamol 500mg,Pain Reliever,9
2021-12-01,2021,12,2,1,48,Dry,Paracetamol 500mg,Pain Reliever,8
2021-12-02,2021,12,3,2,48,Dry,Paracetamol 500mg,Pain Reliever,9
2021-12-03,2021,12,4,3,48,Dry,Paracetamol 500mg,Pain Reliever,9
2021-12-04,2021,12,5,4,48,Dry,Paracetamol 500mg,Pain Reliever,3
2021-12-05,2021,12,6,5,48,Dry,Paracetamol 500mg,Pain Reliever,3
2021-12-06,2021,12,0,6,49,Dry,Paracetamol 500mg,Pain Reliever,10
2021-12-07,2021,12,1,7,49,Dry,Paracetamol 500mg,Pain Reliever,8
2021-12-08,2021,12,2,8,49,Dry,Paracetamol 500mg,Pain Reliever,9
2021-12-09,2021,12,3,9,49,Dry,Paracetamol 500mg,Pain Reliever,8
2021-12-10,2021,12,4,10,49,Dry,Paracetamol 500mg,Pain Reliever,7
2021-12-11,2021,12,5,11,49,Dry,Paracetamol 500mg,Pain Reliever,3
2021-12-12,2021,12,6,12,49,Dry,Paracetamol 500mg,Pain Reliever,1
2021-12-13,2021,12,0,13,50,Dry,Paracetamol 500mg,Pain Reliever,4
2021-12-14,2021,12,1,14,50,Dry,Paracetamol 500mg,Pain Reliever,7
2021-12-15,2021,12,2,15,50,Dry,Paracetamol 500mg,Pain Reliever,6
2021-12-16,2021,12,3,16,50,Dry,Paracetamol 500mg,Pain Reliever,4
2021-12-17,2021,12,4,17,50,Dry,Paracetamol 500mg,Pain Reliever,3
2021-12-18,2021,12,5,18,50,Dry,Paracetamol 500mg,Pain Reliever,4
2021-12-19,2021,12,6,19,50,Dry,Paracetamol 500mg,Pain Reliever,1
2021-12-20,2021,12,0,20,51,Dry,Paracetamol 500mg,Pain Reliever,7
2021-12-21,2021,12,1,21,51,Dry,Paracetamol 500mg,Pain Reliever,2
2021-12-22,2021,12,2,22,51,Dry,Paracetamol 500mg,Pain Reliever,9
2021-12-23,2021,12,3,23,51,Dry,Paracetamol 500mg,Pain Reliever,12
2021-12-24,2021,12,4,24,51,Dry,Paracetamol 500mg,Pain Reliever,4
2021-12-25,2021,12,5,25,51,Dry,Paracetamol 500mg,Pain Reliever,4
2021-12-26,2021,12,6,26,51,Dry,Paracetamol 500mg,Pain Reliever,1
2021-12-27,2021,12,0,27,52,Dry,Paracetamol 500mg,Pain Reliever,8
2021-12-28,2021,12,1,28,52,Dry,Paracetamol 500mg,Pain Reliever,10
2021-12-29,2021,12,2,29,52,Dry,Paracetamol 500mg,Pain Reliever,3
2021-12-30,2021,12,3,30,52,Dry,Paracetamol 500mg,Pain Reliever,8
2021-12-31,2021,12,4,31,52,Dry,Paracetamol 500mg,Pain Reliever,6
2022-01-01,2022,1,5,1,52,Dry,Paracetamol 500mg,Pain Reliever,3
2022-01-02,2022,1,6,2,52,Dry,Paracetamol 500mg,Pain Reliever,1
2022-01-03,2022,1,0,3,1,Dry,Paracetamol 500mg,Pain Reliever,9
2022-01-04,2022,1,1,4,1,Dry,Paracetamol 500mg,Pain Reliever,7
2022-01-05,2022,1,2,5,1,Dry,Paracetamol 500mg,Pain Reliever,12
2022-01-06,2022,1,3,6,1,Dry,Paracetamol 500mg,Pain Reliever,7
2022-01-07,2022,1,4,7,1,Dry,Paracetamol 500mg,Pain Reliever,10
2022-01-08,2022,1,5,8,1,Dry,Paracetamol 500mg,Pain Reliever,1
2022-01-09,2022,1,6,9,1,Dry,Paracetamol 500mg,Pain Reliever,2
2022-01-10,2022,1,0,10,2,Dry,Paracetamol 500mg,Pain Reliever,8
2022-01-11,2022,1,1,11,2,Dry,Paracetamol 500mg,Pain Reliever,2
2022-01-12,2022,1,2,12,2,Dry,Paracetamol 500mg,Pain Reliever,16
2022-01-13,2022,1,3,13,2,Dry,Paracetamol 500mg,Pain Reliever,5
2022-01-14,2022,1,4,14,2,Dry,Paracetamol 500mg,Pain Reliever,5
2022-01-15,2022,1,5,15,2,Dry,Paracetamol 500mg,Pain Reliever,6
2022-01-16,2022,1,6,16,2,Dry,Paracetamol 500mg,Pain Reliever,1
2022-01-17,2022,1,0,17,3,Dry,Paracetamol 500mg,Pain Reliever,8
2022-01-18,2022,1,1,18,3,Dry,Paracetamol 500mg,Pain Reliever,8
2022-01-19,2022,1,2,19,3,Dry,Paracetamol 500mg,Pain Reliever,8
2022-01-20,2022,1,3,20,3,Dry,Paracetamol 500mg,Pain Reliever,10
2022-01-21,2022,1,4,21,3,Dry,Paracetamol 500mg,Pain Reliever,6
2022-01-22,2022,1,5,22,3,Dry,Paracetamol 500mg,Pain Reliever,3
2022-01-23,2022,1,6,23,3,Dry,Paracetamol 500mg,Pain Reliever,2
2022-01-24,2022,1,0,24,4,Dry,Paracetamol 500mg,Pain Reliever,16
2022-01-25,2022,1,1,25,4,Dry,Paracetamol 500mg,Pain Reliever,7
2022-01-26,2022,1,2,26,4,Dry,Paracetamol 500mg,Pain Reliever,5
2022-01-27,2022,1,3,27,4,Dry,Paracetamol 500mg,Pain Reliever,11
2022-01-28,2022,1,4,28,4,Dry,Paracetamol 500mg,Pain Reliever,7
2022-01-29,2022,1,5,29,4,Dry,Paracetamol 500mg,Pain Reliever,3
2022-01-30,2022,1,6,30,4,Dry,Paracetamol 500mg,Pain Reliever,4
2022-01-31,2022,1,0,31,5,Dry,Paracetamol 500mg,Pain Reliever,2
2022-02-01,2022,2,1,1,5,Dry,Paracetamol 500mg,Pain Reliever,9
2022-02-02,2022,2,2,2,5,Dry,Paracetamol 500mg,Pain Reliever,8
2022-02-03,2022,2,3,3,5,Dry,Paracetamol 500mg,Pain Reliever,10
2022-02-04,2022,2,4,4,5,Dry,Paracetamol 500mg,Pain Reliever,6
2022-02-05,2022,2,5,5,5,Dry,Paracetamol 500mg,Pain Reliever,7
2022-02-06,2022,2,6,6,5,Dry,Paracetamol 500mg,Pain Reliever,3
2022-02-07,2022,2,0,7,6,Dry,Paracetamol 500mg,Pain Reliever,5
2022-02-08,2022,2,1,8,6,Dry,Paracetamol 500mg,Pain Reliever,6
2022-02-09,2022,2,2,9,6,Dry,Paracetamol 500mg,Pain Reliever,8
2022-02-10,2022,2,3,10,6,Dry,Paracetamol 500mg,Pain Reliever,6
2022-02-11,2022,2,4,11,6,Dry,Paracetamol 500mg,Pain Reliever,5
2022-02-12,2022,2,5,12,6,Dry,Paracetamol 500mg,Pain Reliever,2
2022-02-13,2022,2,6,13,6,Dry,Paracetamol 500mg,Pain Reliever,1
2022-02-14,2022,2,0,14,7,Dry,Paracetamol 500mg,Pain Reliever,7
2022-02-15,2022,2,1,15,7,Dry,Paracetamol 500mg,Pain Reliever,5
2022-02-16,2022,2,2,16,7,Dry,Paracetamol 500mg,Pain Reliever,12
2022-02-17,2022,2,3,17,7,Dry,Paracetamol 500mg,Pain Reliever,4
2022-02-18,2022,2,4,18,7,Dry,Paracetamol 500mg,Pain Reliever,12
2022-02-19,2022,2,5,19,7,Dry,Paracetamol 500mg,Pain Reliever,2
2022-02-20,2022,2,6,20,7,Dry,Paracetamol 500mg,Pain Reliever,1
2022-02-21,2022,2,0,21,8,Dry,Paracetamol 500mg,Pain Reliever,9
2022-02-22,2022,2,1,22,8,Dry,Paracetamol 500mg,Pain Reliever,12
2022-02-23,2022,2,2,23,8,Dry,Paracetamol 500mg,Pain Reliever,7
2022-02-24,2022,2,3,24,8,Dry,Paracetamol 500mg,Pain Reliever,8
2022-02-25,2022,2,4,25,8,Dry,Paracetamol 500mg,Pain Reliever,9
2022-02-26,2022,2,5,26,8,Dry,Paracetamol 500mg,Pain Reliever,4
2022-02-27,2022,2,6,27,8,Dry,Paracetamol 500mg,Pain Reliever,1
2022-02-28,2022,2,0,28,9,Dry,Paracetamol 500mg,Pain Reliever,4
2022-03-01,2022,3,1,1,9,Dry,Paracetamol 500mg,Pain Reliever,9
2022-03-02,2022,3,2,2,9,Dry,Paracetamol 500mg,Pain Reliever,6
2022-03-03,2022,3,3,3,9,Dry,Paracetamol 500mg,Pain Reliever,5
2022-03-04,2022,3,4,4,9,Dry,Paracetamol 500mg,Pain Reliever,8
2022-03-05,2022,3,5,5,9,Dry,Paracetamol 500mg,Pain Reliever,5
2022-03-06,2022,3,6,6,9,Dry,Paracetamol 500mg,Pain Reliever,3
2022-03-07,2022,3,0,7,10,Dry,Paracetamol 500mg,Pain Reliever,12
2022-03-08,2022,3,1,8,10,Dry,Paracetamol 500mg,Pain Reliever,8
2022-03-09,2022,3,2,9,10,Dry,Paracetamol 500mg,Pain Reliever,13
2022-03-10,2022,3,3,10,10,Dry,Paracetamol 500mg,Pain Reliever,3
2022-03-11,2022,3,4,11,10,Dry,Paracetamol 500mg,Pain Reliever,7
2022-03-12,2022,3,5,12,10,Dry,Paracetamol 500mg,Pain Reliever,7
2022-03-14,2022,3,0,14,11,Dry,Paracetamol 500mg,Pain Reliever,10
2022-03-15,2022,3,1,15,11,Dry,Paracetamol 500mg,Pain Reliever,4
2022-03-16,2022,3,2,16,11,Dry,Paracetamol 500mg,Pain Reliever,6
2022-03-17,2022,3,3,17,11,Dry,Paracetamol 500mg,Pain Reliever,9
2022-03-18,2022,3,4,18,11,Dry,Paracetamol 500mg,Pain Reliever,6
2022-03-19,2022,3,5,19,11,Dry,Paracetamol 500mg,Pain Reliever,5
2022-03-20,2022,3,6,20,11,Dry,Paracetamol 500mg,Pain Reliever,5
2022-03-21,2022,3,0,21,12,Dry,Paracetamol 500mg,Pain Reliever,10
2022-03-22,2022,3,1,22,12,Dry,Paracetamol 500mg,Pain Reliever,8
2022-03-23,2022,3,2,23,12,Dry,Paracetamol 500mg,Pain Reliever,4
2022-03-24,2022,3,3,24,12,Dry,Paracetamol 500mg,Pain Reliever,8
2022-03-25,2022,3,4,25,12,Dry,Paracetamol 500mg,Pain Reliever,8
2022-03-26,2022,3,5,26,12,Dry,Paracetamol 500mg,Pain Reliever,3
2022-03-27,2022,3,6,27,12,Dry,Paracetamol 500mg,Pain Reliever,1
2022-03-28,2022,3,0,28,13,Dry,Paracetamol 500mg,Pain Reliever,4
2022-03-29,2022,3,1,29,13,Dry,Paracetamol 500mg,Pain Reliever,12
2022-03-30,2022,3,2,30,13,Dry,Paracetamol 500mg,Pain Reliever,7
2022-03-31,2022,3,3,31,13,Dry,Paracetamol 500mg,Pain Reliever,12
2022-04-01,2022,4,4,1,13,Dry,Paracetamol 500mg,Pain Reliever,7
2022-04-02,2022,4,5,2,13,Dry,Paracetamol 500mg,Pain Reliever,3
2022-04-03,2022,4,6,3,13,Dry,Paracetamol 500mg,Pain Reliever,2
2022-04-04,2022,4,0,4,14,Dry,Paracetamol 500mg,Pain Reliever,10
2022-04-05,2022,4,1,5,14,Dry,Paracetamol 500mg,Pain Reliever,9
2022-04-06,2022,4,2,6,14,Dry,Paracetamol 500mg,Pain Reliever,11
2022-04-07,2022,4,3,7,14,Dry,Paracetamol 500mg,Pain Reliever,5
2022-04-08,2022,4,4,8,14,Dry,Paracetamol 500mg,Pain Reliever,8
2022-04-09,2022,4,5,9,14,Dry,Paracetamol 500mg,Pain Reliever,4
2022-04-11,2022,4,0,11,15,Dry,Paracetamol 500mg,Pain Reliever,7
2022-04-12,2022,4,1,12,15,Dry,Paracetamol 500mg,Pain Reliever,3
2022-04-13,2022,4,2,13,15,Dry,Paracetamol 500mg,Pain Reliever,9
2022-04-14,2022,4,3,14,15,Dry,Paracetamol 500mg,Pain Reliever,9
2022-04-15,2022,4,4,15,15,Dry,Paracetamol 500mg,Pain Reliever,5
2022-04-16,2022,4,5,16,15,Dry,Paracetamol 500mg,Pain Reliever,2
2022-04-17,2022,4,6,17,15,Dry,Paracetamol 500mg,Pain Reliever,2
2022-04-18,2022,4,0,18,16,Dry,Paracetamol 500mg,Pain Reliever,7
2022-04-19,2022,4,1,19,16,Dry,Paracetamol 500mg,Pain Reliever,11
2022-04-20,2022,4,2,20,16,Dry,Paracetamol 500mg,Pain Reliever,8
2022-04-21,2022,4,3,21,16,Dry,Paracetamol 500mg,Pain Reliever,8
2022-04-22,2022,4,4,22,16,Dry,Paracetamol 500mg,Pain Reliever,3
2022-04-23,2022,4,5,23,16,Dry,Paracetamol 500mg,Pain Reliever,1
2022-04-24,2022,4,6,24,16,Dry,Paracetamol 500mg,Pain Reliever,3
2022-04-25,2022,4,0,25,17,Dry,Paracetamol 500mg,Pain Reliever,6
2022-04-26,2022,4,1,26,17,Dry,Paracetamol 500mg,Pain Reliever,3
2022-04-27,2022,4,2,27,17,Dry,Paracetamol 500mg,Pain Reliever,9
2022-04-28,2022,4,3,28,17,Dry,Paracetamol 500mg,Pain Reliever,11
2022-04-29,2022,4,4,29,17,Dry,Paracetamol 500mg,Pain Reliever,9
2022-04-30,2022,4,5,30,17,Dry,Paracetamol 500mg,Pain Reliever,8
2022-05-01,2022,5,6,1,17,Dry,Paracetamol 500mg,Pain Reliever,3
2022-05-02,2022,5,0,2,18,Dry,Paracetamol 500mg,Pain Reliever,7
2022-05-03,2022,5,1,3,18,Dry,Paracetamol 500mg,Pain Reliever,10
2022-05-04,2022,5,2,4,18,Dry,Paracetamol 500mg,Pain Reliever,7
2022-05-05,2022,5,3,5,18,Dry,Paracetamol 500mg,Pain Reliever,8
2022-05-06,2022,5,4,6,18,Dry,Paracetamol 500mg,Pain Reliever,5
2022-05-07,2022,5,5,7,18,Dry,Paracetamol 500mg,Pain Reliever,3
2022-05-08,2022,5,6,8,18,Dry,Paracetamol 500mg,Pain Reliever,2
2022-05-09,2022,5,0,9,19,Dry,Paracetamol 500mg,Pain Reliever,10
2022-05-10,2022,5,1,10,19,Dry,Paracetamol 500mg,Pain Reliever,3
2022-05-11,2022,5,2,11,19,Dry,Paracetamol 500mg,Pain Reliever,6
2022-05-12,2022,5,3,12,19,Dry,Paracetamol 500mg,Pain Reliever,9
2022-05-13,2022,5,4,13,19,Dry,Paracetamol 500mg,Pain Reliever,9
2022-05-14,2022,5,5,14,19,Dry,Paracetamol 500mg,Pain Reliever,9
2022-05-15,2022,5,6,15,19,Dry,Paracetamol 500mg,Pain Reliever,2
2022-05-16,2022,5,0,16,20,Dry,Paracetamol 500mg,Pain Reliever,5
2022-05-17,2022,5,1,17,20,Dry,Paracetamol 500mg,Pain Reliever,6
2022-05-18,2022,5,2,18,20,Dry,Paracetamol 500mg,Pain Reliever,8
2022-05-19,2022,5,3,19,20,Dry,Paracetamol 500mg,Pain Reliever,10
2022-05-20,2022,5,4,20,20,Dry,Paracetamol 500mg,Pain Reliever,3
2022-05-21,2022,5,5,21,20,Dry,Paracetamol 500mg,Pain Reliever,5
2022-05-22,2022,5,6,22,20,Dry,Paracetamol 500mg,Pain Reliever,1
2022-05-23,2022,5,0,23,21,Dry,Paracetamol 500mg,Pain Reliever,4
2022-05-24,2022,5,1,24,21,Dry,Paracetamol 500mg,Pain Reliever,7
2022-05-25,2022,5,2,25,21,Dry,Paracetamol 500mg,Pain Reliever,8
2022-05-26,2022,5,3,26,21,Dry,Paracetamol 500mg,Pain Reliever,7
2022-05-27,2022,5,4,27,21,Dry,Paracetamol 500mg,Pain Reliever,7
2022-05-28,2022,5,5,28,21,Dry,Paracetamol 500mg,Pain Reliever,4
2022-05-30,2022,5,0,30,22,Dry,Paracetamol 500mg,Pain Reliever,10
2022-05-31,2022,5,1,31,22,Dry,Paracetamol 500mg,Pain Reliever,4
2022-06-01,2022,6,2,1,22,Wet,Paracetamol 500mg,Pain Reliever,11
2022-06-02,2022,6,3,2,22,Wet,Paracetamol 500mg,Pain Reliever,6
2022-06-03,2022,6,4,3,22,Wet,Paracetamol 500mg,Pain Reliever,13
2022-06-04,2022,6,5,4,22,Wet,Paracetamol 500mg,Pain Reliever,6
2022-06-05,2022,6,6,5,22,Wet,Paracetamol 500mg,Pain Reliever,1
2022-06-06,2022,6,0,6,23,Wet,Paracetamol 500mg,Pain Reliever,7
2022-06-07,2022,6,1,7,23,Wet,Paracetamol 500mg,Pain Reliever,12
2022-06-08,2022,6,2,8,23,Wet,Paracetamol 500mg,Pain Reliever,10
2022-06-09,2022,6,3,9,23,Wet,Paracetamol 500mg,Pain Reliever,8
2022-06-10,2022,6,4,10,23,Wet,Paracetamol 500mg,Pain Reliever,6
2022-06-11,2022,6,5,11,23,Wet,Paracetamol 500mg,Pain Reliever,8
2022-06-12,2022,6,6,12,23,Wet,Paracetamol 500mg,Pain Reliever,1
2022-06-13,2022,6,0,13,24,Wet,Paracetamol 500mg,Pain Reliever,6
2022-06-14,2022,6,1,14,24,Wet,Paracetamol 500mg,Pain Reliever,5
2022-06-15,2022,6,2,15,24,Wet,Paracetamol 500mg,Pain Reliever,12
2022-06-16,2022,6,3,16,24,Wet,Paracetamol 500mg,Pain Reliever,7
2022-06-17,2022,6,4,17,24,Wet,Paracetamol 500mg,Pain Reliever,8
2022-06-18,2022,6,5,18,24,Wet,Paracetamol 500mg,Pain Reliever,6
2022-06-19,2022,6,6,19,24,Wet,Paracetamol 500mg,Pain Reliever,2
2022-06-20,2022,6,0,20,25,Wet,Paracetamol 500mg,Pain Reliever,3
2022-06-21,2022,6,1,21,25,Wet,Paracetamol 500mg,Pain Reliever,9
2022-06-22,2022,6,2,22,25,Wet,Paracetamol 500mg,Pain Reliever,4
2022-06-23,2022,6,3,23,25,Wet,Paracetamol 500mg,Pain Reliever,8
2022-06-24,2022,6,4,24,25,Wet,Paracetamol 500mg,Pain Reliever,14
2022-06-25,2022,6,5,25,25,Wet,Paracetamol 500mg,Pain Reliever,4
2022-06-26,2022,6,6,26,25,Wet,Paracetamol 500mg,Pain Reliever,1
2022-06-27,2022,6,0,27,26,Wet,Paracetamol 500mg,Pain Reliever,9
2022-06-28,2022,6,1,28,26,Wet,Paracetamol 500mg,Pain Reliever,5
2022-06-29,2022,6,2,29,26,Wet,Paracetamol 500mg,Pain Reliever,5
2022-06-30,2022,6,3,30,26,Wet,Paracetamol 500mg,Pain Reliever,2
2022-07-01,2022,7,4,1,26,Wet,Paracetamol 500mg,Pain Reliever,8
2022-07-02,2022,7,5,2,26,Wet,Paracetamol 500mg,Pain Reliever,4
2022-07-03,2022,7,6,3,26,Wet,Paracetamol 500mg,Pain Reliever,3
2022-07-04,2022,7,0,4,27,Wet,Paracetamol 500mg,Pain Reliever,11
2022-07-05,2022,7,1,5,27,Wet,Paracetamol 500mg,Pain Reliever,3
2022-07-06,2022,7,2,6,27,Wet,Paracetamol 500mg,Pain Reliever,6
2022-07-07,2022,7,3,7,27,Wet,Paracetamol 500mg,Pain Reliever,6
2022-07-08,2022,7,4,8,27,Wet,Paracetamol 500mg,Pain Reliever,6
2022-07-09,2022,7,5,9,27,Wet,Paracetamol 500mg,Pain Reliever,4
